FIPS,quadrant,avg_down,avg_up,max_down,max_up,num_providers,num_platforms,top_plat_type,top_plat_ratio,bscore_raw,bscore_norm,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,Building Type_Commercial & Office Buildings,Building Type_Industrial & Manufacturing Buildings,Building Type_Mixed Residential & Commercial Buildings,Building Type_Multi-Family Elevator Buildings,Building Type_Multi-Family Walk-Up Buildings,Building Type_One & Two Family Buildings,Building Type_Open Space & Outdoor Recreation,Building Type_Parking Facilities,Building Type_Public Facilities & Institutions,Building Type_Transportation & Utility,Building Type_Vacant Land,Population Density (per sq. mile),Area (Land),Area Total:,Area Total: Area (Water),Total Population:,Households:,Households: Less than $10_000,Households: $10_000 to $14_999,Households: $15_000 to $19_999,Households: $20_000 to $24_999,Households: $25_000 to $29_999,Households: $30_000 to $34_999,Households: $35_000 to $39_999,Households: $40_000 to $44_999,Households: $45_000 to $49_999,Households: $50_000 to $59_999,Households: $60_000 to $74_999,Households: $75_000 to $99_999,Households: $100_000 to $124_999,Households: $125_000 to $149_999,Households: $150_000 to $199_999,Households: $200_000 or More,Per capita income (In 2014 Inflation adjusted dollars),Gini Index
36047117601,3,65.52173913,41.39130435,101,100.0,4,3,Cable,0.538461538,98.3173913,-0.912962649,953903,154311,799592,10469,53282,4620,9801,0,422,711.09,746,821,4,2,22,0,54,218,1,7,9,0,1,52970.69,0.058824983,0.05882498,0.0,3116,842,137,29,17,16,61,59,52,86,44,109,65,52,18,50,47,0,15022.0,0.4384
36047118000,3,88.85714286,27.42857143,300,100.0,4,3,Copper,0.477876106,134.5714286,-0.721468428,431666,431666,0,425966,0,0,0,0,11,16.0,0,3,0,0,0,0,0,0,10,0,1,0,1,0.0,0.298887099,0.2988871,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
36047118400,3,73.65116279,42.39162791,300,100.0,4,3,Fiber,0.375,126.8469767,-0.762269067,1761900,325016,1436884,37194,100791,29455,41807,0,708,1374.5,1357,1462,6,2,75,0,143,410,0,10,4,1,3,64186.07,0.079129324,0.07912932,0.0,5079,1357,216,46,146,33,15,60,57,72,63,205,160,111,48,115,0,10,14575.0,0.434
36047119200,3,61.04,36.83072,101,100.0,7,3,Copper,0.393442623,93.05536,-0.940756756,1420936,324398,1096538,130876,30934,33018,85952,20828,600,937.0,1134,1180,3,12,12,1,90,292,1,9,8,7,44,35239.73,0.087202721,0.08720272,0.0,3073,953,223,94,90,21,58,19,42,70,26,23,103,119,29,15,21,0,12884.0,0.514
36047119400,3,68.93617021,43.40425532,101,100.0,4,3,Cable,0.447368421,102.7382979,-0.889611373,1451765,130692,1321073,43772,59980,1240,1400,19460,591,1107.0,1301,1358,4,3,33,0,153,323,0,7,5,1,24,54211.0,0.070594536,0.07059453,0.0,3827,1118,158,64,112,122,13,72,39,81,69,25,102,146,51,12,32,20,15508.0,0.487
36047119800,3,171.41,150.10288,1000,1000.0,8,4,Copper,0.414634146,350.46144,0.418864972,2177912,1214003,963909,320977,231991,81768,151287,213293,630,1111.5,1016,1261,30,37,94,0,112,161,0,40,24,29,20,24720.28,0.126212168,0.1262122,0.0,3120,989,124,110,49,67,82,35,77,77,59,60,85,115,0,25,9,15,15587.0,0.4391
36047122000,3,78.62937063,32.23468531,300,100.0,7,3,Copper,0.395348837,128.2467133,-0.754875644,3375801,1186026,2189775,372342,79424,488423,532,0,659,1274.25,2044,2092,8,0,8,0,129,426,39,27,8,6,120,12776.03,0.423214316,0.4232143,0.0,5407,2045,413,119,78,64,192,113,67,56,132,191,135,288,71,16,56,54,20102.0,0.5191
36047002300,1,348.877551,278.5211429,1000,1000.0,7,4,Copper,0.381081081,591.6381224,1.692762845,1596247,342497,1253750,0,0,407,0,0,17,58.5,1510,1521,0,0,0,4,0,0,3,0,3,0,1,62186.46,0.070272526,0.07027253,0.0,4370,1558,416,166,192,166,49,81,127,81,11,117,20,114,11,7,0,0,10805.0,0.4639
36047003000,1,442.6666667,346.8666667,1000,1000.0,5,4,Cable,0.34939759,718.6,2.36337687,899938,17998,881940,9776,8222,0,0,0,330,588.25,725,735,1,0,9,3,13,246,0,1,0,0,1,43259.39,0.043227613,0.04322761,0.0,1870,693,22,55,0,15,13,40,20,37,38,93,55,71,81,60,50,43,33052.0,0.4103
36047003100,1,262.826087,183.826087,1000,1000.0,8,4,Copper,0.300813008,458.7391304,0.990788917,2922683,1682227,1240456,52280,20000,165278,0,0,27,138.0,1326,1346,0,0,2,5,0,0,4,1,5,1,2,24656.97,0.111327543,0.1113275,0.0,2745,970,10,68,10,5,38,26,15,11,40,95,182,167,132,55,61,55,33608.0,0.342
36047003600,1,313.375,247.225,1000,1000.0,5,4,Cable,0.456790123,539.4875,1.417302687,2086348,15481,2070867,3831,7800,0,0,0,413,609.75,1895,1904,0,0,9,11,18,227,0,0,1,0,0,93271.07,0.048375128,0.04837513,0.0,4512,1824,98,39,167,42,85,62,36,16,26,271,130,196,205,163,167,121,36784.0,0.4368
36047006600,1,259.0243902,201.6585366,1000,1000.0,8,4,Fiber,0.361111111,463.8536585,1.01780391,1910239,249001,1661238,30404,95285,5700,0,0,380,830.75,1651,1757,10,0,70,10,61,156,0,1,9,1,0,66257.47,0.059359348,0.05935935,0.0,3933,1553,136,96,89,21,75,44,36,45,89,149,174,233,126,74,87,79,35737.0,0.5304
36047006800,1,265.0,206.2,1000,1000.0,8,4,Cable,0.5,472.1,1.061361176,2359983,580223,1779760,101079,197474,13484,13600,12805,525,1156.5,1841,2008,12,3,106,7,78,256,0,1,11,1,7,72781.41,0.071625428,0.07162543,0.0,5213,1902,181,198,105,167,151,116,107,93,99,80,198,157,101,36,68,45,19209.0,0.4635
36047007400,1,257.5555556,201.6170667,1000,1000.0,8,4,Fiber,0.333333333,462.3640889,1.009935987,1774751,313022,1461729,163921,134405,0,4800,0,423,1090.0,1424,1537,6,0,74,2,165,167,1,1,2,0,2,101557.2,0.05546628,0.05546628,0.0,5633,1418,144,50,88,157,105,104,51,71,41,164,121,134,26,47,42,73,15065.0,0.4665
